data.name,folds,seed,algo,bad.groups,RSS,RMSE,mean.sd,zeros
PetAdoption,2,5,random,0,73301.5,85.6162951779625,100.550584284727,0
PetAdoption,2,5,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,5,Wasikowski,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,5,origami,0,,,,
PetAdoption,2,6,random,0,170429.5,130.54864993557,161.078924754296,0
PetAdoption,2,6,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,6,Wasikowski,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,6,origami,0,,,,
PetAdoption,2,7,random,0,251335.5,158.535642680124,177.200959365349,0
PetAdoption,2,7,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,7,Wasikowski,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,7,origami,0,,,,
PetAdoption,2,8,random,0,37581.5,61.3037519243317,73.3976838871636,0
PetAdoption,2,8,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,8,Wasikowski,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,8,origami,0,,,,
PetAdoption,2,9,random,0,120489.5,109.767709277364,137.037294193953,0
PetAdoption,2,9,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,9,Wasikowski,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,9,origami,0,,,,
PetAdoption,2,10,random,0,107953.5,103.900673722551,92.9138310479123,0
PetAdoption,2,10,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,10,Wasikowski,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,10,origami,0,,,,
PetAdoption,3,1,random,0,143810,97.9149290625967,96.7871103891635,0
PetAdoption,3,1,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,1,Wasikowski,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,1,origami,0,,,,
PetAdoption,3,2,random,0,528280,187.666370633277,192.40827412786,0
PetAdoption,3,2,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,2,Wasikowski,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,2,origami,0,,,,
PetAdoption,3,3,random,0,147690,99.2270124512474,92.1640291989721,0
PetAdoption,3,3,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,3,Wasikowski,0,4,0.516397779494322,0.546410161513775,0
PetAdoption,3,3,origami,0,,,,
PetAdoption,3,4,random,0,102972,82.8540886136586,86.9004106932925,0
PetAdoption,3,4,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,4,Wasikowski,0,6,0.632455532033676,0.661880215351701,0
PetAdoption,3,4,origami,0,,,,
